EryA,EryB,GMP,MEP,MPP,CMP
136.88,162.18,12.9,67.5,10.62,14.12
53.51,100.07,6.45,40.07,3.23,6.35
159.28,202.9,5.28,29.18,2.77,1.77
47.29,79.36,5.86,26.13,2.77,3.88
75.91,98.69,5.28,65.33,6.92,4.59
52.26,77.29,9.38,32.66,7.38,10.24
49.77,46.24,0,66.2,6,7.06
11.2,24.84,16.41,22.21,88.15,16.95
19.91,8.28,31.65,19.6,56.77,33.54
12.44,4.83,6.45,5.23,5.08,3.88
9.95,12.42,1.17,10.45,8.77,7.41
6.22,4.14,36.34,14.81,37.85,28.95
4.98,5.52,8.79,7.84,8.31,15.18
1.24,6.9,4.1,4.79,9.23,4.94
6.22,12.42,15.83,7.84,29.54,9.53
4.98,3.45,4.69,2.18,7.85,6.35
7.47,4.83,15.83,9.15,41.54,15.53
11.2,13.11,35.76,16.55,47.54,34.24
8.71,2.07,22.27,9.15,59.54,28.95
21.15,4.83,14.07,6.97,14.31,19.77
6.22,6.9,82.06,9.58,14.77,32.48
7.47,6.21,43.96,4.79,4.15,17.3
7.47,4.14,23.45,16.11,42,24.36
2.49,10.35,36.34,10.02,17.08,14.47
43.55,75.22,14.65,37.45,14.31,9.53
14.93,10.35,38.1,32.66,46.15,32.48
3.73,3.45,4.1,5.66,29.54,7.77
68.44,82.81,13.48,27.87,38.31,27.54
12.44,12.42,6.45,11.76,8.31,6.35
4.98,15.18,17.58,20.03,34.15,39.19
8.71,23.46,42.2,18.29,45.69,38.13
59.73,62.11,7.03,47.04,15.23,4.94
32.35,24.15,26.38,34.41,31.38,25.42
31.11,28.99,14.07,17.42,56.31,26.12
28.62,19.32,8.79,33.97,10.62,12.36
24.89,24.84,8.79,40.94,12,15.53
100.79,120.77,12.9,86.23,37.85,28.95
14.93,29.68,73.27,21.34,42.46,50.13
6.22,16.56,8.79,35.71,48.92,30.71
9.95,9.66,40.44,13.07,27.23,41.66
8.71,10.35,49.82,29.18,93.23,48.01
8.71,15.87,57.44,54.44,98.31,55.07
9.95,13.11,35.17,9.15,42.46,39.89
12.44,3.45,24.62,3.05,42,37.42
13.69,6.9,7.03,6.1,13.85,11.65
4.98,17.94,15.83,8.27,26.77,9.88
3.73,11.04,2.93,0.87,19.38,4.94
21.15,2.07,38.69,9.58,52.61,29.3
12.44,8.28,44.55,11.32,96.92,27.89
22.4,1.38,77.96,6.97,44.31,43.07
6.22,8.97,23.45,6.53,12.46,19.42
4.98,4.14,5.86,4.79,3.69,12.36
12.44,6.21,26.38,6.53,42,27.54
17.42,15.87,47.48,7.84,125.54,50.48
4.98,3.45,26.96,2.61,73.85,33.19
6.22,4.14,45.13,15.24,75.69,34.24
12.44,6.9,72.1,9.15,56.31,32.48
23.64,18.63,25.2,4.36,48,19.77
8.71,11.73,25.79,1.74,8.31,20.83
2.49,5.52,6.45,2.61,5.08,6
7.47,8.97,2.93,13.07,43.85,6
6.22,2.76,9.96,9.58,10.15,16.59
3.73,2.76,32.24,7.84,2.77,32.13
2.49,3.45,14.07,11.76,19.85,18
14.93,1.38,45.13,4.79,21.69,22.59
8.71,8.97,10.55,6.53,29.54,21.54
4.98,2.76,2.93,7.4,60,16.24
0,3.45,5.28,7.4,40.15,9.88
7.47,3.45,12.9,6.1,51.23,14.83
9.95,4.14,4.69,10.45,47.08,15.89
3.73,5.52,17,7.84,42.46,14.83
6.22,4.83,5.86,6.53,16.62,18
6.22,1.38,2.93,4.79,24.46,10.59
83.37,173.22,1.17,43.99,12,9.53
2.49,6.21,28.72,3.48,62.77,26.83
8.71,7.59,35.76,17.86,7.85,38.13
11.2,12.42,10.55,47.91,6.92,19.06
2.49,4.14,47.48,5.66,20.31,35.3
39.82,61.42,22.27,25.7,6.46,17.65
2.49,4.83,11.72,8.27,5.08,7.41
13.69,14.49,12.31,24.82,50.77,20.12
9.95,15.18,17.58,21.34,60,30.36
13.69,8.28,35.76,18.73,112.15,40.95
11.2,15.18,42.2,18.29,37.38,38.13
16.18,13.11,53.34,26.57,84,38.83
19.91,24.84,24.62,20.47,18.46,22.95
16.18,28.99,30.48,48.78,73.38,26.48
39.82,38.65,19.93,74.47,40.61,16.95
7.47,18.63,19.93,13.5,74.31,22.24
7.47,8.28,28.72,8.71,67.38,20.83
6.22,18.63,66.82,8.71,34.15,38.13
51.02,38.65,18.17,41.81,70.61,33.89
60.97,83.51,12.31,50.08,24.46,22.59
12.44,27.6,53.93,27.87,53.08,22.95
12.44,3.45,28.72,16.11,48,29.3
16.18,13.8,53.34,14.81,60,46.6
60.97,102.14,56.27,93.2,99.69,67.08
18.67,13.11,19.93,69.25,38.77,25.77
3.73,2.76,12.31,18.29,37.38,20.48
6.22,2.07,20.52,23.95,53.54,20.12
11.2,19.32,16.41,58.36,39.23,24.01
3.73,8.97,13.48,10.45,38.31,23.65
11.2,6.21,4.1,4.36,9.23,6.71
3.73,6.9,4.69,14.37,48.92,17.65
13.69,13.11,5.28,43.55,6.46,3.53
13.69,41.41,11.72,17.86,8.77,13.77
46.04,67.63,15.83,62.28,29.08,19.06
27.38,55.21,9.38,31.36,12.46,12
67.2,90.41,15.83,69.25,6.46,12.71
27.38,51.07,9.38,50.08,11.54,6
16.18,11.73,22.27,32.66,36.92,31.07
1.24,0.69,22.27,15.24,37.85,32.13
16.18,13.8,7.03,18.73,31.38,9.88
27.38,46.93,46.31,45.73,48.92,43.42
3.73,4.14,6.45,4.36,9.69,9.18
12.44,4.14,10.55,15.68,42.92,25.77
80.88,82.12,8.21,30.49,21.69,21.18
9.95,17.25,22.86,11.32,90,35.3
12.44,7.59,28.14,17.86,66.46,41.66
19.91,8.28,52.75,11.76,107.54,46.25
11.2,8.97,16.41,15.24,63.69,26.83
8.71,12.42,42.2,21.78,66.46,39.89
6.22,13.8,28.72,11.32,59.54,22.59
11.2,2.76,21.1,12.19,44.77,33.89
8.71,11.04,24.62,35.71,47.08,30.36
19.91,30.37,69.75,10.89,17.54,46.6
14.93,26.91,25.79,24.82,7.38,26.12
24.89,37.96,4.69,12.19,10.15,6.71
31.11,54.52,5.86,30.05,6.92,10.24
11.2,13.11,57.44,8.71,13.38,33.89
11.2,11.73,8.79,6.53,12,6.35
6.22,6.9,79.72,7.84,39.23,51.19
4.98,13.11,25.2,11.76,59.08,26.48
11.2,6.9,37.51,9.15,59.54,35.3
16.18,1.38,28.72,4.36,44.31,26.83
12.44,9.66,28.72,11.76,74.31,24.36
16.18,5.52,10.55,4.36,6.46,22.59
8.71,2.07,20.52,10.02,36.46,12
8.71,2.76,38.1,47.04,60.92,32.48
9.95,6.21,26.96,9.58,19.38,24.71
14.93,3.45,41.62,33.97,7.85,16.95
26.13,26.22,8.79,42.68,21.69,26.12
13.69,13.8,45.72,36.58,33.69,34.95
4.98,11.04,27.55,13.94,45.69,32.48
6.22,2.76,60.37,12.63,43.38,40.25
3.73,8.97,39.27,11.76,42,19.77
1.24,2.76,29.89,8.27,23.08,39.54
9.95,2.76,36.34,3.05,6.92,34.95
6.22,7.59,35.17,6.1,72.46,25.77
27.38,13.11,62.72,12.63,55.38,57.9
3.73,0.69,46.31,7.84,44.77,35.66
8.71,0.69,11.14,9.58,17.08,13.42
14.93,24.15,34,35.71,54.92,32.83
3.73,17.94,15.24,23.08,7.85,19.77
16.18,7.59,29.89,9.58,51.23,20.83
0,9.66,13.48,7.84,12,13.42
12.44,6.9,18.17,3.92,95.54,22.95
22.4,13.8,10.55,4.36,108,13.77
4.98,7.59,7.62,5.66,43.85,9.18
4.98,5.52,5.28,6.53,31.85,2.82
8.71,7.59,34.58,4.36,30,30.01
14.93,3.45,54.51,8.71,90.92,45.54
11.2,10.35,26.38,3.48,6.92,24.36
2.49,8.28,46.31,9.15,33.23,51.54
4.98,13.8,43.38,6.53,44.31,43.78
13.69,13.8,59.79,3.48,50.77,52.25
4.98,11.04,5.28,2.61,1.85,5.65
7.47,6.21,21.1,19.6,79.85,23.65
0,5.52,20.52,3.05,6.46,18.36
16.18,3.45,36.34,18.73,62.77,37.07
2.49,6.9,19.93,20.03,44.31,25.77
18.67,13.8,6.45,8.27,22.15,15.53
8.71,8.97,24.03,2.18,9.69,28.6
14.93,12.42,17,6.97,37.38,24.36
8.71,0.69,14.65,3.92,3.23,12.71
2.49,6.21,55.1,4.79,31.85,29.65
7.47,6.21,24.62,3.92,3.23,12.71
11.2,8.97,40.44,8.27,30.46,21.89
3.73,4.14,19.93,2.61,7.85,20.12
6.22,8.28,24.62,20.47,6.92,19.42
4.98,4.14,19.34,5.23,10.62,17.3
4.98,8.28,67.41,3.48,6,39.89
9.95,5.52,39.27,10.89,17.08,27.89
6.22,4.83,15.24,1.74,59.08,14.47
6.22,0,4.1,9.58,18.46,7.77
4.98,8.28,20.52,10.45,30.92,13.06
2.49,8.28,4.69,16.11,17.54,14.12
7.47,9.66,6.45,3.92,28.62,12.36
12.44,11.73,4.69,10.89,38.77,11.3
34.84,55.21,47.48,40.94,46.15,49.42
13.69,10.35,22.27,54.44,12.92,16.59
8.71,2.76,61.55,8.27,24.46,63.9
11.2,2.07,33.41,23.95,28.62,27.54
4.98,1.38,34,27.87,8.31,34.6
7.47,5.52,24.03,3.92,3.23,10.59
7.47,8.97,76.79,6.53,14.31,45.54
13.69,10.35,52.75,6.97,16.15,32.48
2.49,8.97,73.27,29.18,57.69,53.31
6.22,6.9,39.27,12.19,7.38,27.89
4.98,0.69,43.38,13.07,25.85,48.37
37.33,63.49,58.62,43.12,47.54,44.84
13.69,16.56,28.72,27.44,12.46,27.89
17.42,10.35,42.79,32.23,9.23,40.6
11.2,2.76,43.96,10.89,11.54,31.42
8.71,8.28,25.79,7.84,44.31,45.19
7.47,2.76,73.86,7.4,29.54,45.54
14.93,13.11,8.21,3.92,55.38,11.65
3.73,6.9,3.52,47.47,5.54,15.89
4.98,2.07,46.89,5.23,12,28.24
11.2,10.35,18.17,6.53,54.46,14.47
8.71,8.97,58.62,32.66,68.31,55.78
8.71,2.76,51,10.45,44.77,30.71
1.24,6.21,48.06,10.45,12.92,32.48
8.71,12.42,26.96,19.6,54.92,31.77
4.98,14.49,42.79,12.19,7.85,18.71
8.71,4.83,49.82,30.05,21.69,45.19
8.71,8.28,61.55,11.32,7.85,38.83
24.89,33.13,96.72,74.91,68.77,60.37
51.02,60.04,50.41,71.86,14.31,28.6
19.91,24.84,76.79,72.73,56.77,55.78
9.95,6.21,38.1,18.73,17.08,29.65
39.82,30.37,18.76,52.26,4.15,10.59
4.98,15.18,37.51,26.57,38.31,32.83
8.71,6.21,58.03,33.97,17.54,51.19
7.47,15.18,59.2,13.94,4.62,34.95
6.22,6.21,67.41,28.31,29.54,54.37
8.71,2.76,31.07,38.76,24.92,47.66
13.69,15.87,37.51,26.13,37.85,38.13
43.55,73.84,58.03,64.46,58.61,46.95
14.93,6.9,34,10.45,96,31.77
12.44,7.59,94.37,14.81,32.77,51.9
2.49,2.76,1.17,8.71,1.38,10.24
7.47,5.52,10.55,5.66,3.23,20.12
6.22,4.83,17,3.05,7.38,10.94
3.73,3.45,67.41,6.1,12.46,42.01
11.2,6.9,35.76,6.1,4.15,31.77
2.49,2.76,62.13,6.1,29.54,32.48
0,1.38,42.2,11.32,24.92,30.71
67.2,79.36,18.17,58.79,3.23,16.24
22.4,28.3,54.51,23.52,4.62,18.71
39.82,38.65,22.27,32.66,27.69,35.66
7.47,19.32,34,19.6,14.77,16.95
4.98,7.59,37.51,26.57,14.31,43.78
14.93,6.21,23.45,13.94,13.38,24.36
8.71,4.83,45.13,11.32,8.31,32.48
62.22,84.89,42.2,34.41,24,33.89
14.93,11.04,17,10.02,12.92,22.24
4.98,6.9,54.51,4.36,16.62,46.95
4.98,7.59,40.44,13.94,20.31,26.12
4.98,5.52,89.68,24.82,35.08,48.37
6.22,3.45,65.06,7.84,14.31,33.89
3.73,0.69,47.48,19.6,20.31,30.36
21.15,28.3,10.55,57.05,6,10.59
26.13,59.35,13.48,57.05,13.38,10.94
19.91,37.27,79.13,30.49,53.54,65.31
18.67,25.53,25.79,31.36,30.46,23.3
14.93,17.94,43.96,20.9,14.77,49.07
17.42,17.25,9.38,9.58,6.46,10.94
26.13,38.65,2.93,16.55,14.31,9.18
99.55,129.74,65.06,97.99,13.38,43.78
24.89,50.38,91.44,50.52,96.46,60.72
6.22,5.52,11.72,12.19,10.15,13.77
19.91,24.84,36.93,11.32,24.46,33.54
39.82,66.25,21.69,26.13,63.23,26.48
18.67,35.2,90.27,29.18,123.23,90.02
13.69,15.18,84.41,8.71,51.23,28.6
27.38,34.51,26.38,45.73,40.15,22.59
14.93,16.56,41.03,10.02,53.54,26.12
18.67,37.27,29.89,53.13,20.77,35.66
52.26,57.28,10.55,45.73,6,6
31.11,31.06,63.31,19.6,23.54,46.6
16.18,8.97,51,5.66,30,45.54
17.42,37.96,89.1,40.5,45.23,46.25
27.38,40.72,33.41,57.49,42.46,27.18
24.89,42.79,82.65,98.43,88.15,50.13
18.67,26.22,42.79,36.15,22.62,25.42
29.86,37.96,29.89,63.58,18.92,22.59
7.47,7.59,39.27,12.63,12.92,21.54
23.64,32.44,5.86,58.36,10.62,6
14.93,33.13,35.17,20.9,43.38,32.83
11.2,9.66,38.1,20.47,12.46,30.36
1.24,4.83,53.93,13.94,44.77,71.67
9.95,8.97,61.55,12.19,17.08,48.01
6.22,2.76,21.69,5.66,5.08,20.12
3.73,4.83,59.79,10.45,3.23,35.66
7.47,13.11,43.96,32.23,7.85,21.18
12.44,4.83,24.03,30.49,5.54,15.18
7.47,17.94,14.07,16.98,7.85,22.95
34.84,48.31,45.72,43.55,44.77,34.95
9.95,24.84,35.17,16.11,11.08,33.89
39.82,35.2,31.65,32.66,53.08,40.95
18.67,24.84,78.55,34.41,33.69,53.31
9.95,13.11,25.79,21.78,56.77,35.3
31.11,19.32,22.86,30.49,34.15,27.89
13.69,13.8,42.2,16.11,33.23,51.9
9.95,14.49,52.17,22.21,68.77,44.13
18.67,38.65,41.62,12.19,16.62,29.65
23.64,11.04,38.69,10.45,20.77,30.36
62.22,68.32,7.62,75.34,8.31,14.12
44.8,48.31,82.65,49.21,127.84,57.54
6.22,13.11,51,8.27,11.08,37.42
12.44,5.52,27.55,4.79,12,22.95
18.67,22.77,61.55,13.5,9.23,52.25
14.93,23.46,65.06,16.11,32.31,50.84
16.18,55.21,8.21,51.83,17.54,12.36
2.49,8.28,29.89,12.63,38.77,40.6
6.22,4.83,43.96,13.94,12.46,44.13
4.98,17.25,9.96,53.13,4.62,9.18
22.4,20.01,46.89,24.39,37.38,27.89
2.49,6.9,7.62,18.29,40.15,14.47
6.22,3.45,31.65,53.13,46.15,27.54
11.2,9.66,32.82,17.42,60,41.66
7.47,10.35,32.24,14.81,85.38,34.95
6.22,13.8,9.96,51.83,12.46,16.24
9.95,7.59,16.41,2.61,42.46,25.07
2.49,6.9,6.45,14.81,46.61,27.54
12.44,4.14,39.27,12.19,23.54,20.48
22.4,1.38,35.76,16.11,54.92,35.3
23.64,22.08,14.07,50.52,11.54,9.18
7.47,25.53,5.28,57.92,10.62,7.77
2.49,12.42,47.48,9.58,8.31,47.66
4.98,8.97,63.89,6.53,22.15,37.07
8.71,2.07,40.44,2.61,16.62,28.95
11.2,2.76,74.44,9.15,6,44.84
2.49,4.14,23.45,23.52,38.31,40.6
9.95,2.76,30.48,10.02,7.85,8.83
6.22,8.97,45.13,15.68,43.38,35.66
16.18,7.59,32.24,14.37,64.61,35.66
11.2,8.28,70.93,5.66,8.77,33.89
7.47,11.73,59.2,53.13,59.54,55.43
19.91,14.49,95.54,64.46,57.23,61.78
9.95,13.11,43.96,30.92,23.08,39.54
4.98,16.56,19.34,50.08,26.77,41.31
14.93,17.25,15.83,78.83,9.69,24.36
39.82,55.9,21.69,77.09,13.85,23.3
105.77,127.67,68.58,95.81,49.38,56.13
12.44,11.04,16.41,18.29,14.77,24.36
59.73,73.84,82.65,74.04,90.92,88.26
9.95,10.35,9.38,4.36,27.23,21.18
2.49,13.11,18.76,4.79,40.61,18
11.2,20.01,49.82,22.65,102.92,55.78
9.95,12.42,66.24,17.42,64.61,53.31
4.98,4.14,28.14,6.53,54,19.77
6.22,4.14,34,14.37,78,26.83
17.42,8.97,36.93,47.47,68.77,44.13
3.73,6.9,35.76,15.24,45.69,28.24
9.95,11.73,17,20.03,34.61,37.77
9.95,6.9,4.69,0.44,6,4.59
14.93,4.14,45.72,11.76,36.46,48.72
4.98,4.83,62.72,4.36,3.23,46.25
2.49,7.59,48.06,6.53,25.85,31.42
9.95,10.35,64.48,10.02,74.31,63.19
7.47,4.14,38.69,6.1,16.62,32.48
3.73,6.9,44.55,3.92,11.54,27.18
17.42,29.68,40.44,24.82,33.69,31.77
236.43,314.7,17,48.34,15.23,15.89
9.95,18.63,41.62,12.19,6.92,26.12
49.77,91.79,27.55,37.02,14.77,28.95
46.04,57.28,90.27,43.12,57.69,73.43
29.86,57.28,4.69,9.15,5.54,5.65
12.44,11.73,17.58,33.1,36.46,39.19
9.95,26.22,110.78,42.24,54.46,77.31
13.69,11.04,103.75,25.7,33.23,58.25
3.73,10.35,106.68,27,90,64.61
7.47,8.28,67.41,21.34,67.85,32.13
1.24,8.28,56.27,10.45,29.08,21.89
1.24,3.45,60.37,12.63,34.61,46.25
12.44,6.21,58.03,12.63,42.92,52.6
9.95,4.14,55.1,2.61,39.23,46.25
4.98,3.45,40.44,6.53,9.69,22.59
12.44,11.73,45.72,19.16,19.38,26.12
1.24,5.52,67.41,5.66,39.69,22.95
4.98,6.9,24.62,7.84,12,18.36
6.22,6.21,24.03,25.7,25.38,24.71
8.71,15.87,49.24,16.11,59.08,48.01
6.22,4.14,43.96,13.94,54.92,46.6
6.22,8.28,42.79,11.32,64.61,29.3
4.98,6.9,35.76,13.07,59.08,39.54
7.47,9.66,30.48,23.08,23.54,20.48
88.35,117.32,2.93,65.76,8.77,10.94
4.98,9.66,56.86,22.21,35.08,48.72
93.33,117.32,13.48,37.89,8.77,10.59
69.68,118.01,7.62,55.75,9.69,12.36
8.71,11.04,66.24,31.36,30,45.89
18.67,4.83,79.72,25.7,54.46,63.19
24.89,45.55,65.65,50.52,55.85,44.48
67.2,67.63,18.76,97.99,3.23,9.18
32.35,53.14,61.55,69.25,62.77,58.25
18.67,24.84,14.07,40.5,14.31,9.88
7.47,8.97,39.27,20.03,19.38,33.19
17.42,8.97,63.89,14.37,56.77,49.42
33.6,18.63,44.55,23.52,36.46,41.31
19.91,27.6,14.07,41.37,20.31,24.36
12.44,13.8,37.51,23.95,18,27.89
11.2,3.45,24.03,47.91,50.77,27.89
7.47,7.59,5.28,9.58,6,4.94
11.2,6.21,47.48,16.55,43.38,36.36
16.18,15.87,21.1,50.08,40.15,30.71
4.98,4.14,25.2,17.42,52.61,41.66
4.98,13.8,39.86,31.36,18.92,32.48
8.71,13.8,6.45,47.91,2.31,7.41
3.73,8.97,73.27,22.21,76.15,58.6
3.73,4.83,42.2,13.07,12.46,47.66
13.69,11.73,36.34,32.66,18.92,38.48
3.73,12.42,25.79,52.7,24.92,37.07
3.73,13.8,34.58,30.49,36.92,27.54
39.82,28.99,4.1,51.39,16.15,14.83
9.95,11.04,21.69,14.37,48.46,23.65
7.47,2.76,44.55,24.39,34.61,25.77
2.49,2.07,49.24,21.34,27.23,29.3
6.22,13.11,42.2,23.08,47.54,43.78
4.98,4.14,76.79,9.58,4.62,55.78
26.13,49,44.55,51.39,30.92,33.54
3.73,8.28,10.55,9.58,10.62,14.12
8.71,2.07,11.14,15.24,2.31,16.95
0,4.14,24.03,12.19,6.46,12.36
14.93,8.97,17.58,13.07,7.38,17.3
99.55,140.79,17,30.05,17.08,20.48
7.47,3.45,5.86,1.74,4.62,5.65
4.98,4.14,7.62,23.52,19.38,11.65
3.73,9.66,31.07,19.16,27.69,29.3
9.95,3.45,15.83,3.92,33.23,18.71
3.73,2.76,31.07,9.58,21.69,26.12
4.98,7.59,7.62,34.41,21.23,13.77
23.64,20.7,3.52,88.41,6.46,9.88
13.69,4.14,26.38,6.1,6,38.83
4.98,3.45,17.58,10.02,54,27.54
11.2,2.07,21.1,19.16,73.85,19.42
11.2,6.21,5.28,47.04,12.92,14.12
17.42,18.63,18.17,45.73,25.85,19.06
27.38,20.7,44.55,51.83,41.54,37.07
16.18,4.14,5.86,23.08,12.92,14.12
8.71,13.11,9.96,48.34,9.69,10.24
17.42,26.91,13.48,60.1,27.23,18
23.64,6.21,12.9,13.07,45.23,24.01
8.71,2.76,59.2,13.5,36.46,39.89
9.95,2.07,48.65,5.66,4.15,24.01
11.2,2.07,114.3,5.66,36.92,57.9
17.42,13.8,86.17,66.63,71.08,65.31
4.98,4.83,8.21,13.07,13.38,9.53
7.47,10.35,38.69,17.86,43.85,35.3
9.95,9.66,30.48,39.2,47.54,20.83
11.2,7.59,97.89,57.92,95.54,85.79
11.2,11.04,54.51,13.94,31.85,52.96
16.18,16.56,25.79,33.97,31.85,30.71
21.15,40.03,48.65,54.44,66.46,41.66
29.86,39.34,38.1,31.79,93.23,45.54
9.95,15.18,42.79,42.24,53.08,40.6
11.2,15.87,30.48,28.74,24,39.54
24.89,19.32,22.27,21.78,22.15,26.12
2.49,2.76,51,10.02,42.92,56.13
3.73,4.83,18.17,5.66,42,30.36
6.22,4.14,36.34,10.89,37.85,27.54
3.73,0.69,7.03,4.36,30.92,12.36
1.24,4.14,22.27,6.1,60,31.77
6.22,8.28,31.65,20.9,84,38.48
3.73,2.07,44.55,17.42,22.62,44.84
4.98,5.52,44.55,22.65,51.23,38.48
7.47,5.52,25.79,26.13,55.85,42.01
7.47,5.52,19.93,32.66,28.15,41.66
4.98,4.14,53.93,15.24,54.46,43.07
3.73,8.28,48.65,9.15,18.92,48.72
12.44,7.59,53.93,32.23,58.15,44.13
7.47,2.07,55.1,16.55,32.31,42.36
4.98,4.83,82.65,32.66,84.92,63.55
11.2,22.08,11.14,76.21,15.23,11.65
9.95,7.59,11.14,81.88,7.38,6.35
6.22,4.14,29.89,15.24,64.61,42.01
6.22,2.07,34.58,8.71,27.23,30.71
8.71,2.07,51,6.1,35.54,44.48
14.93,8.28,28.72,6.53,10.62,32.13
7.47,6.9,41.62,12.63,45.23,34.24
8.71,2.76,18.17,3.92,7.85,4.59
7.47,12.42,6.45,5.66,24.46,9.88
11.2,15.87,23.45,30.49,64.15,28.6
6.22,31.75,16.41,13.5,91.84,25.77
6.22,6.21,12.9,5.66,13.38,10.24
4.98,6.9,2.34,9.58,2.77,5.3
6.22,11.73,2.93,4.79,25.38,12.71
11.2,8.97,9.38,6.53,18.46,5.65
18.67,22.77,26.38,13.5,24.92,24.71
6.22,3.45,46.31,7.4,39.69,62.84
18.67,15.87,75.03,8.71,55.85,55.43
2.49,2.76,13.48,4.36,12,19.77
7.47,2.76,21.1,5.23,18,24.36
14.93,6.21,18.76,10.02,20.31,20.83
3.73,5.52,59.2,43.99,72.92,68.49
7.47,14.49,38.1,11.32,27.69,38.48
8.71,13.11,96.13,10.45,88.61,80.14
0,11.73,28.14,6.1,30.92,35.66
4.98,3.45,12.31,14.37,66.92,25.77
12.44,7.59,21.1,7.84,33.69,15.53
47.29,76.6,5.28,57.49,2.31,14.47
14.93,11.73,4.69,39.2,6,8.47
9.95,20.01,21.1,28.74,12.46,24.01
2.49,8.28,6.45,13.07,13.85,7.06
12.44,17.25,11.72,9.15,37.85,20.48
4.98,8.28,6.45,10.89,23.54,10.59
12.44,8.28,23.45,4.36,38.77,31.77
11.2,7.59,0.59,4.36,12,10.59
2.49,10.35,11.72,2.18,27.69,6
12.44,12.42,50.41,5.23,45.23,49.07
3.73,0.69,27.55,11.76,72.46,40.6
1.24,2.07,43.96,1.31,44.31,34.24
1.24,1.38,15.24,8.27,39.23,16.95
11.2,2.76,28.14,2.18,33.69,18.36
3.73,6.9,2.93,4.36,4.62,6.71
3.73,8.97,16.41,5.66,6,14.83
9.95,15.18,17.58,7.84,55.38,26.12
8.71,8.97,12.9,2.61,22.62,9.53
17.42,11.73,50.41,6.1,71.08,48.01
7.47,8.28,29.89,8.27,22.62,30.36
2.49,9.66,52.75,6.53,1.85,41.66
6.22,3.45,16.41,6.97,9.69,18
109.5,129.05,7.62,86.67,15.23,13.06
26.13,28.3,13.48,22.21,34.15,15.18
148.08,171.84,8.79,83.62,5.08,6.71
46.04,31.06,32.24,47.04,22.62,33.89
144.35,208.42,8.21,66.63,12.46,9.88
8.71,25.53,72.1,50.08,10.15,36.72
64.71,103.52,11.72,51.83,8.31,20.12
9.95,11.04,19.93,19.16,33.69,19.42
12.44,6.9,107.85,11.76,108.92,75.2
8.71,7.59,11.72,3.48,45.69,8.83
9.95,8.97,3.52,5.23,3.23,2.47
9.95,10.35,22.86,4.79,20.31,20.83
3.73,6.21,24.03,5.23,72.46,33.89
1.24,5.52,42.79,4.79,38.31,49.07
6.22,21.39,69.75,41.81,91.84,64.96
3.73,3.45,7.62,7.84,21.23,9.53
2.49,8.97,36.93,38.76,83.54,37.42
22.4,15.87,3.52,43.55,8.77,9.53
2.49,13.11,42.79,20.9,17.08,43.78
2.49,5.52,53.93,30.05,38.31,50.48
8.71,4.83,24.62,40.5,28.15,22.59
13.69,4.14,14.07,37.45,6.92,12.36
3.73,15.18,36.34,27.87,7.38,41.66
11.2,6.9,4.69,5.66,5.08,10.59
21.15,37.27,3.52,54.87,5.08,2.82
75.91,64.87,5.28,95.38,7.38,10.24
38.58,35.89,2.93,51.83,2.77,7.41
21.15,31.75,5.86,39.2,17.54,7.41
29.86,25.53,9.38,67.07,11.54,10.94
21.15,17.25,7.62,36.58,13.85,9.88
63.46,90.41,1.17,93.2,4.15,11.65
93.33,82.12,19.93,98.43,11.54,21.54
21.15,30.37,4.1,37.45,6.92,3.18
36.09,46.24,2.93,62.71,6.92,5.65
23.64,20.7,9.96,39.63,8.31,11.65
14.93,13.8,43.38,29.61,53.08,59.31
7.47,5.52,30.48,12.63,81.69,38.83
14.93,18.63,39.86,16.11,71.08,51.9
18.67,28.3,23.45,51.39,42,19.77
51.02,71.08,14.07,85.36,27.23,15.53
7.47,19.32,29.31,18.29,32.77,27.18
9.95,24.15,94.37,39.63,122.77,60.72
36.09,15.18,20.52,54.44,115.84,28.6
12.44,22.77,34.58,57.05,79.38,34.6
7.47,13.8,14.07,10.45,44.77,20.48
18.67,31.06,1.17,41.37,1.85,4.59
12.44,11.73,15.24,65.33,37.85,23.65
9.95,11.04,15.24,6.53,50.77,18.71
8.71,10.35,69.17,19.6,85.38,43.78
16.18,20.01,22.86,88.84,6.92,25.07
6.22,2.76,48.06,24.82,52.61,44.48
13.69,8.97,5.28,30.49,71.54,8.47
56,90.41,4.1,77.52,15.23,10.24
16.18,12.42,19.93,19.6,73.38,20.48
8.71,15.87,21.69,27.87,60,30.01
3.73,2.76,11.14,13.5,65.08,22.95
9.95,3.45,15.83,6.97,83.54,18
3.73,0,23.45,6.53,59.54,24.36
4.98,2.07,20.52,12.19,66,28.95
6.22,12.42,59.2,16.98,160.15,44.13
7.47,10.35,19.34,50.52,27.69,49.07
6.22,8.97,23.45,54,50.31,45.54
23.64,10.35,25.79,52.7,35.54,32.13
14.93,8.97,4.1,44.86,12,15.53
11.2,8.97,21.1,23.52,93.69,30.01
9.95,2.76,27.55,33.97,66.46,37.42
1.24,6.21,36.34,15.68,79.85,33.19
3.73,5.52,28.72,9.58,47.08,28.6
3.73,3.45,7.62,7.4,40.15,13.06
1.24,2.76,10.55,18.29,41.54,20.83
11.2,9.66,11.72,10.89,11.54,12
9.95,7.59,8.79,8.71,76.61,14.12
12.44,7.59,21.1,23.08,107.54,31.77
6.22,9.66,12.9,27.87,78.92,31.42
9.95,15.18,49.82,54.44,83.08,44.13
2.49,15.18,14.65,23.95,35.08,19.77
