EryA,EryB,GMP,MEP,MPP,CMP
0,3.45,24.62,4.36,52.15,26.83
0,5.52,57.44,17.86,51.23,33.89
7.47,4.14,38.1,6.1,12.46,33.19
14.93,4.83,49.24,10.02,75.69,49.78
11.2,11.04,48.65,9.15,43.38,31.07
19.91,14.49,73.27,12.63,58.61,49.78
2.49,21.39,6.45,11.76,7.38,4.59
12.44,13.11,7.62,7.4,6.92,4.94
12.44,10.35,43.96,20.9,30.92,32.48
21.15,23.46,74.44,42.24,135.69,51.19
12.44,13.8,93.79,17.42,42.92,58.6
17.42,10.35,51.58,27,73.38,51.54
23.64,17.94,21.1,12.63,14.31,13.06
41.06,38.65,26.96,67.5,8.31,21.54
37.33,33.13,38.1,60.1,29.54,39.89
46.04,41.41,3.52,33.53,10.62,9.18
141.86,135.95,4.69,81.88,8.31,7.41
146.83,172.53,1.76,49.65,5.08,3.88
151.81,202.9,0.59,47.04,6,1.77
110.75,113.87,0.59,38.76,3.23,2.82
21.15,22.77,15.83,55.75,20.31,10.94
67.2,68.32,13.48,43.99,24,9.53
23.64,33.82,6.45,42.24,4.62,14.12
16.18,22.77,12.31,8.71,5.08,11.65
2.49,8.28,28.14,2.61,13.85,32.83
11.2,15.87,43.96,15.24,42,33.54
9.95,15.18,21.1,15.68,41.54,27.89
2.49,6.9,63.31,26.13,80.31,57.54
11.2,2.76,25.79,10.02,50.77,31.07
9.95,3.45,42.2,10.02,29.08,30.01
9.95,4.14,18.17,30.05,61.85,27.54
12.44,9.66,19.93,6.1,53.08,27.54
8.71,9.66,7.62,7.4,38.31,15.53
8.71,6.21,9.38,6.53,39.23,16.95
8.71,5.52,6.45,57.92,4.15,9.53
14.93,8.97,14.65,63.58,7.38,8.12
9.95,8.28,36.34,43.55,15.23,28.95
4.98,6.21,35.76,7.84,18,22.95
11.2,5.52,11.72,11.76,36,19.42
79.64,78.67,43.38,40.5,67.38,38.83
6.22,12.42,30.48,14.81,76.15,38.83
7.47,3.45,25.2,26.13,66.46,34.24
7.47,0,13.48,5.66,51.69,22.95
3.73,4.14,32.24,9.58,47.08,38.83
3.73,8.97,46.89,11.76,48.46,50.13
13.69,8.28,29.89,9.15,43.38,23.3
2.49,4.83,35.17,14.81,6.92,31.07
6.22,12.42,25.2,14.81,17.54,21.18
4.98,9.66,17,21.78,19.85,16.95
11.2,8.28,19.93,21.78,30.92,25.07
14.93,14.49,42.79,13.94,26.31,33.19
36.09,25.53,4.1,52.7,9.23,5.3
4.98,3.45,12.31,5.66,77.08,20.83
6.22,2.76,34,10.02,62.77,33.19
16.18,13.11,0.59,5.23,6,3.18
6.22,13.8,6.45,6.1,17.54,5.3
2.49,5.52,68.58,8.27,26.31,25.77
3.73,11.04,48.65,19.6,41.54,30.01
12.44,12.42,45.72,57.05,75.23,50.48
12.44,21.39,10.55,62.28,6.92,12
12.44,5.52,21.1,39.2,1.85,8.12
32.35,30.37,40.44,84.05,23.54,36.36
14.93,13.8,8.21,55.31,5.08,12.36
4.98,6.9,5.28,48.78,7.85,14.47
11.2,6.21,26.96,56.62,68.31,51.54
11.2,9.66,25.79,27.44,50.31,48.72
68.44,73.84,6.45,39.2,3.23,8.47
38.58,33.13,3.52,28.31,9.69,10.94
38.58,27.6,0.59,24.39,26.77,7.41
23.64,33.82,15.83,58.79,13.38,11.65
17.42,20.7,4.1,53.57,7.38,4.94
47.29,38.65,60.37,35.28,35.54,41.31
9.95,8.97,31.65,36.58,96,40.95
12.44,24.15,45.72,62.28,71.08,45.19
7.47,2.07,19.93,39.63,18.46,18.36
12.44,11.04,24.62,38.33,12,26.83
24.89,28.3,5.28,43.55,2.77,6.35
11.2,3.45,104.34,6.53,10.15,52.25
12.44,9.66,35.17,10.89,14.31,26.83
6.22,5.52,4.69,2.18,22.15,12.71
6.22,7.59,36.93,27.44,45.23,48.01
8.71,4.83,53.93,18.73,64.15,51.9
13.69,7.59,51.58,20.9,39.69,55.07
3.73,6.21,72.1,8.71,11.54,55.07
4.98,7.59,62.13,5.66,16.15,39.89
2.49,3.45,70.34,16.55,39.23,44.13
12.44,6.9,26.96,43.99,23.08,22.24
3.73,5.52,85.58,11.32,50.77,60.37
13.69,2.76,51,10.45,69.23,36.72
13.69,1.38,42.79,10.45,59.08,39.19
8.71,1.38,3.52,2.61,4.62,4.94
4.98,0.69,41.62,10.89,29.08,34.24
4.98,3.45,45.13,9.15,24.46,35.3
3.73,5.52,74.44,16.98,62.77,48.37
7.47,15.87,7.03,55.75,4.15,3.53
18.67,12.42,21.69,37.89,12,16.59
12.44,8.28,8.21,86.67,11.08,16.59
6.22,15.18,10.55,39.63,11.08,10.59
13.69,5.52,10.55,56.62,9.23,7.06
3.73,2.07,9.38,3.48,9.23,14.47
12.44,7.59,24.62,18.73,40.15,27.54
8.71,4.14,36.93,20.47,76.15,51.54
16.18,8.97,15.83,7.4,22.62,11.65
3.73,2.07,4.69,4.36,5.54,4.24
13.69,8.28,4.1,12.63,18.46,8.83
11.2,8.97,26.96,37.02,28.15,24.71
18.67,24.84,84.99,73.17,22.62,54.72
46.04,49.69,9.38,80.13,2.77,9.53
16.18,13.11,38.69,16.98,46.61,44.48
18.67,16.56,45.72,40.5,17.54,25.07
18.67,26.22,15.83,19.16,8.77,12.71
44.8,40.72,14.65,39.2,21.69,16.95
90.84,79.36,37.51,56.18,41.54,35.3
27.38,13.8,39.27,29.61,33.69,38.13
14.93,11.73,42.79,12.19,12,18.36
16.18,15.87,29.31,6.97,22.62,30.36
14.93,11.73,11.14,16.55,32.31,19.77
7.47,4.83,41.03,8.27,1.85,42.36
6.22,8.97,15.83,3.05,3.23,24.01
11.2,14.49,39.86,16.98,25.85,29.3
8.71,5.52,38.1,8.71,20.77,33.54
8.71,2.07,3.52,2.18,4.15,6.35
7.47,11.04,59.79,4.79,19.85,43.42
6.22,4.14,16.41,3.05,3.23,7.77
13.69,4.14,2.34,7.4,3.69,6
4.98,4.14,7.62,7.4,6,5.65
7.47,8.97,7.03,11.32,4.15,8.12
7.47,5.52,34.58,12.63,11.54,30.01
29.86,37.27,2.34,50.52,3.23,9.53
3.73,8.97,28.72,17.86,31.85,30.01
6.22,10.35,5.28,6.1,19.38,9.88
13.69,15.18,53.34,36.58,55.85,48.01
8.71,6.9,47.48,49.21,66.92,51.19
12.44,4.83,45.13,21.78,25.38,53.31
12.44,10.35,66.82,29.18,23.54,41.31
11.2,4.83,75.61,23.08,80.31,61.08
7.47,8.28,31.07,15.24,42,27.89
6.22,8.97,14.65,10.89,45.69,22.59
9.95,6.21,25.2,10.89,44.31,34.6
2.49,8.28,41.62,37.02,104.77,52.25
1.24,3.45,29.89,8.27,42.92,36.36
8.71,15.18,9.96,44.42,24.92,21.18
11.2,7.59,38.1,12.63,13.38,32.13
12.44,10.35,85.58,15.68,6.92,50.13
6.22,6.21,28.14,5.66,42.92,24.01
17.42,27.6,15.24,54.44,19.38,13.42
1.24,4.83,15.83,16.11,44.31,24.36
9.95,11.04,15.24,20.03,7.38,17.65
21.15,30.37,26.96,28.74,22.15,34.6
6.22,11.73,12.31,7.84,26.77,24.36
6.22,8.28,2.34,3.05,4.62,2.47
9.95,3.45,3.52,4.36,3.23,5.3
8.71,4.83,40.44,3.48,7.38,25.77
4.98,4.83,14.07,7.84,6.46,15.53
1.24,6.9,21.1,12.63,3.69,24.36
6.22,6.21,18.76,7.84,9.69,24.71
3.73,3.45,62.72,8.27,32.77,47.66
11.2,6.21,7.62,44.86,11.54,21.54
7.47,2.07,2.93,3.48,10.15,7.06
12.44,9.66,11.14,20.9,16.62,8.12
14.93,10.35,34.58,46.6,20.77,39.89
4.98,4.83,14.07,21.34,37.85,20.12
9.95,10.35,7.03,22.21,13.85,6.71
11.2,16.56,17,39.2,52.61,34.95
89.59,62.8,12.9,64.89,14.31,19.77
158.03,179.43,6.45,44.42,13.85,7.41
8.71,7.59,36.34,29.18,23.54,27.54
14.93,18.63,28.14,58.79,35.54,29.3
27.38,21.39,11.14,39.63,14.77,26.83
3.73,8.28,21.1,16.98,47.54,20.83
3.73,13.11,24.62,28.74,38.31,30.36
8.71,2.07,19.34,35.28,40.61,32.83
8.71,11.73,7.03,38.33,13.85,27.89
12.44,15.87,11.72,22.65,50.31,26.83
4.98,10.35,59.2,27.87,77.08,49.42
11.2,11.73,17,80.13,61.85,38.83
16.18,8.97,58.03,27.44,49.38,55.78
0,7.59,29.31,18.73,40.61,28.24
12.44,8.97,35.17,16.11,63.23,43.07
13.69,12.42,35.17,17.86,44.77,39.19
9.95,6.9,4.1,13.07,40.61,19.42
6.22,9.66,18.76,44.86,50.77,40.25
9.95,1.38,46.31,45.29,72.92,39.89
17.42,22.77,12.31,59.67,20.77,23.3
4.98,5.52,26.38,19.16,40.61,24.01
12.44,4.83,62.72,33.53,115.38,57.19
4.98,2.07,31.07,7.84,79.38,20.12
33.6,42.79,2.93,29.61,2.77,4.94
14.93,18.63,7.03,45.29,24.46,17.3
3.73,13.8,11.72,9.58,10.62,7.41
16.18,13.11,8.21,9.58,9.23,9.18
12.44,10.35,4.1,45.73,6.92,8.83
0,4.14,36.34,10.45,66,31.42
4.98,2.07,25.2,21.34,44.31,17.3
9.95,4.14,32.24,16.11,29.54,33.19
9.95,5.52,25.2,2.61,54,33.54
9.95,6.9,10.55,4.79,54.46,13.42
13.69,4.14,28.72,11.76,105.69,40.25
2.49,4.83,19.34,9.15,43.85,16.59
8.71,5.52,17,16.98,78.46,22.59
8.71,4.83,50.41,7.84,36,31.07
1.24,6.21,7.62,8.71,61.85,16.95
