CMP,EryA,EryB,GMP,MPP,Mono,MEP,GN
14.83,41.06,40.72,9.38,8.77,17.54,63.15,10.41
56.84,6.22,13.8,82.65,67.85,78.91,44.86,71.15
27.54,4.98,1.38,66.24,5.54,37.81,6.97,10.85
44.84,33.6,45.55,68.58,15.23,59.18,33.1,45.12
73.78,4.98,2.76,75.03,56.31,40,22.65,19.09
58.96,13.69,13.11,70.34,8.31,33.43,49.65,26.9
31.07,6.22,5.52,41.62,33.23,22.19,23.08,23.43
20.12,7.47,12.42,20.52,8.77,12.06,56.18,21.26
36.36,7.47,6.21,35.17,42,20.55,9.58,29.5
43.42,8.71,3.45,42.2,54.92,14.8,16.11,20.82
39.19,18.67,15.87,17,71.08,33.43,32.23,53.36
55.78,7.47,27.6,48.65,50.31,58.91,30.49,63.77
36.36,22.4,40.72,42.2,98.31,32.33,36.58,29.5
28.95,11.2,13.11,22.86,94.61,22.74,9.15,22.13
20.12,4.98,10.35,23.45,30.92,19.45,10.45,31.67
11.65,18.67,13.11,4.1,12.92,10.14,9.15,10.41
71.31,3.73,10.35,94.37,94.61,64.39,37.45,49.89
29.65,12.44,11.04,41.62,15.69,43.84,10.89,82.43
34.24,6.22,8.97,48.06,68.31,48.5,11.32,101.51
31.07,6.22,10.35,65.06,74.31,54.8,7.4,35.57
46.95,3.73,12.42,27.55,60.92,21.37,34.41,9.54
49.78,6.22,6.21,63.31,25.38,32.33,11.32,32.97
5.65,7.47,17.94,11.72,17.54,11.78,8.71,16.92
34.6,9.95,12.42,45.13,37.85,23.84,21.78,6.51
50.13,8.71,8.97,38.69,12.46,36.44,16.11,62.9
34.6,11.2,8.97,28.72,57.69,19.45,12.19,12.58
25.77,12.44,17.25,12.9,65.08,13.97,33.97,12.58
18.71,2.49,14.49,23.45,66,11.51,7.84,9.11
27.89,7.47,7.59,22.86,30.92,18.36,23.52,10.85
51.9,4.98,24.84,85.58,150.92,53.43,18.73,37.74
37.07,6.22,7.59,34.58,54.46,32.06,4.79,72.45
18.36,7.47,7.59,7.03,59.08,7.67,16.55,3.47
50.84,12.44,6.9,36.34,77.08,17.81,14.81,25.16
58.96,22.4,3.45,52.75,95.08,26.3,14.81,41.65
15.53,13.69,2.07,8.21,35.08,11.78,0.87,11.28
46.25,8.71,6.21,43.38,61.38,26.3,16.55,20.82
16.24,3.73,4.83,9.38,47.54,11.23,10.45,7.38
17.3,3.73,2.07,8.79,45.69,6.03,11.32,3.9
37.42,9.95,7.59,29.31,50.77,15.62,5.23,12.58
21.18,6.22,7.59,34,28.15,43.02,7.84,42.95
39.19,1.24,4.83,30.48,45.23,20.82,5.66,42.95
63.19,12.44,7.59,78.55,115.38,50.41,11.76,93.71
45.89,8.71,9.66,49.24,54.46,27.12,7.4,52.93
39.89,7.47,4.14,50.41,31.85,51.78,5.66,78.96
30.01,6.22,8.97,46.31,16.15,64.66,3.92,89.8
52.6,9.95,17.94,47.48,49.85,62.47,8.71,104.12
21.54,3.73,10.35,21.1,28.62,20.28,12.63,30.8
27.18,12.44,8.97,36.34,44.77,34.8,14.37,37.74
8.83,6.22,5.52,17,15.23,13.7,7.84,9.98
40.6,9.95,3.45,71.51,28.62,65.48,6.53,88.5
46.25,14.93,8.97,45.72,39.69,60.55,18.29,72.88
40.95,9.95,10.35,61.55,9.23,64.39,7.84,71.58
8.47,8.71,9.66,19.93,9.69,31.51,9.58,35.14
9.18,13.69,7.59,7.03,6.46,9.86,6.97,13.45
38.83,8.71,0.69,38.69,74.77,26.58,3.92,21.69
42.36,12.44,5.52,42.2,84.92,10.69,7.4,6.94
31.07,0,5.52,43.96,23.54,32.06,7.84,33.84
57.19,11.2,6.21,72.68,72,68.77,6.53,45.99
64.25,4.98,10.35,75.03,49.85,55.07,5.23,71.15
20.12,12.44,2.76,21.69,43.38,18.08,18.29,12.15
36.01,2.49,14.49,52.17,41.54,72.88,7.84,70.71
54.01,3.73,14.49,84.99,49.85,63.57,18.29,31.24
28.95,16.18,7.59,15.24,35.08,23.56,24.82,26.9
20.83,6.22,6.21,26.38,63.23,19.73,8.27,17.35
11.3,8.71,11.04,12.9,13.38,14.52,10.89,22.56
33.19,12.44,6.21,30.48,13.85,38.36,16.11,62.04
36.36,16.18,18.63,45.72,27.23,33.15,34.41,27.33
44.48,18.67,12.42,50.41,61.38,50.96,14.81,71.58
23.3,33.6,64.18,7.03,31.85,11.78,47.04,9.54
21.18,4.98,15.87,7.03,21.69,8.49,18.73,4.77
35.3,17.42,14.49,28.14,90.92,16.71,6.53,23.43
5.65,23.64,7.59,7.03,6,5.21,6.1,4.77
22.24,8.71,7.59,8.21,93.23,6.58,7.84,6.51
57.54,18.67,28.99,72.1,140.77,54.25,20.9,92.4
36.72,8.71,8.97,28.14,92.77,24.39,17.42,26.46
55.78,9.95,13.8,76.79,68.31,39.45,5.66,37.74
46.95,6.22,8.28,45.72,82.61,16.71,15.68,27.33
73.78,9.95,11.04,62.13,85.85,29.86,19.6,45.99
29.65,9.95,5.52,16.41,32.77,15.62,25.7,13.88
32.13,12.44,4.83,15.83,20.31,13.97,36.58,11.28
33.54,3.73,5.52,15.24,5.08,19.45,10.89,48.59
21.89,17.42,25.53,15.24,22.62,10.69,67.5,5.21
15.18,13.69,9.66,8.21,10.15,6.58,53.13,6.51
49.07,7.47,14.49,34.58,59.08,17.26,51.83,10.41
28.24,18.67,4.83,15.24,21.23,7.67,57.49,9.11
43.42,24.89,37.27,42.2,36.46,23.29,70.12,3.47
36.36,8.71,16.56,27.55,29.08,24.39,16.55,15.62
64.61,13.69,2.76,48.65,98.31,21.65,37.89,21.26
7.77,9.95,11.73,7.03,18.92,9.59,6.1,4.77
22.95,7.47,6.21,11.14,59.08,11.51,18.29,7.38
42.01,2.49,7.59,17.58,58.61,14.25,7.84,8.24
23.65,7.47,1.38,15.83,43.38,9.32,4.79,8.24
12.36,2.49,8.97,7.62,48,7.67,7.84,9.11
24.71,9.95,5.52,32.82,26.31,36.99,7.4,5.21
52.6,19.91,7.59,61.55,144.92,51.78,8.27,20.82
21.89,8.71,13.8,10.55,73.38,12.6,10.02,12.15
18.71,8.71,5.52,16.41,39.69,10.41,20.03,11.28
37.42,2.49,1.38,43.38,36.92,20.28,26.13,33.84
27.18,7.47,8.28,21.1,44.77,11.23,9.58,13.88
42.36,8.71,2.07,52.17,33.69,29.04,12.19,70.28
37.42,3.73,13.8,28.14,72.92,27.12,22.65,45.99
64.25,4.98,6.21,76.79,70.61,46.58,6.1,81.56
52.96,0,6.21,65.06,49.38,25.48,16.98,33.84
62.49,7.47,7.59,121.33,142.61,52.88,30.92,70.28
75.55,4.98,17.25,88.51,126.46,48.22,19.6,40.35
47.66,2.49,4.83,33.41,63.23,27.12,5.66,33.84
38.13,8.71,6.21,26.96,28.15,15.62,20.47,10.41
25.07,3.73,4.14,37.51,21.69,15.89,7.4,10.85
19.06,3.73,11.04,30.48,54.46,15.07,7.84,9.11
38.83,11.2,2.76,24.62,63.69,12.6,18.73,30.37
30.01,7.47,10.35,10.55,44.31,8.22,12.63,8.68
22.95,14.93,8.28,13.48,36.46,16.44,22.65,10.85
51.9,17.42,20.01,65.65,54.92,67.4,16.98,63.77
36.01,16.18,19.32,41.62,36,47.13,16.11,62.47
7.77,22.4,36.58,6.45,12,13.7,53.57,9.98
21.89,105.77,96.62,13.48,11.54,16.99,48.34,24.29
28.6,8.71,11.73,18.17,30.92,13.15,39.2,21.26
22.24,4.98,7.59,14.65,9.23,18.63,12.63,59
13.77,46.04,44.86,10.55,10.15,8.22,29.61,6.94
19.42,31.11,44.17,13.48,65.08,4.93,44.86,5.21
52.96,8.71,9.66,58.03,78.92,16.17,24.82,20.39
28.95,9.95,15.18,24.62,48,12.33,40.07,21.69
40.25,2.49,13.11,28.14,90,32.88,27,20.39
10.94,31.11,24.84,10.55,6.92,8.77,67.07,3.47
9.88,2.49,8.28,6.45,1.85,17.54,6.97,49.89
35.3,7.47,2.07,35.17,15.23,27.95,13.5,40.78
17.65,32.35,40.72,16.41,18.92,7.67,56.62,10.41
19.77,27.38,28.3,10.55,18,12.33,39.2,15.62
7.06,13.69,57.97,14.07,11.54,7.4,81.01,5.64
6.35,12.44,25.53,6.45,8.77,3.56,45.29,2.17
6.35,13.69,22.77,7.62,7.85,7.4,30.49,8.68
7.41,31.11,35.89,5.86,1.85,7.67,95.38,5.64
7.41,33.6,26.91,5.28,0.92,7.4,64.02,5.21
8.12,8.71,6.21,4.1,7.38,5.75,12.19,3.47
31.42,16.18,13.11,39.86,44.31,30.96,15.24,26.03
38.48,13.69,16.56,55.69,56.31,28.22,17.42,17.79
10.94,47.29,65.56,6.45,13.38,5.48,52.7,7.38
12.36,9.95,11.73,7.03,13.85,9.86,6.1,8.24
10.24,23.64,35.89,1.76,3.69,6.58,68.81,3.9
23.3,26.13,17.25,32.82,46.61,13.97,21.78,5.21
21.54,18.67,26.91,28.14,30.46,27.67,19.16,8.68
14.83,56,122.15,14.07,6.92,11.23,61.84,9.54
4.59,116.97,164.25,5.28,3.23,5.75,34.84,6.07
7.41,70.93,89.03,7.03,14.31,13.7,55.75,7.38
9.88,80.88,111.8,5.86,5.08,6.58,81.88,5.21
15.18,13.69,17.94,15.24,8.77,18.08,12.63,7.81
12.71,57.24,89.72,8.21,9.69,7.12,16.55,9.11
17.65,11.2,9.66,29.89,32.77,14.52,10.45,6.51
46.25,6.22,12.42,32.82,42.92,33.7,8.27,45.12
10.24,28.62,39.34,21.69,27.69,8.49,73.6,7.81
27.54,14.93,5.52,15.83,25.85,9.59,50.52,5.21
19.06,24.89,37.27,21.1,15.69,12.33,12.19,12.58
39.54,19.91,11.73,67.41,46.15,56.72,24.39,55.96
36.36,16.18,24.84,55.1,47.54,37.54,52.26,41.21
77.31,13.69,16.56,70.34,90,62.47,76.65,93.27
22.95,4.98,15.18,55.69,19.85,52.33,19.16,44.25
37.07,12.44,8.28,48.65,54,35.62,21.78,26.9
25.07,13.69,8.97,11.72,33.23,37.26,10.45,8.68
27.54,22.4,17.94,60.37,47.54,59.18,50.08,19.96
40.95,27.38,25.53,79.13,60.92,36.99,49.65,16.92
36.36,18.67,15.18,38.1,57.23,38.63,17.42,42.95
33.89,17.42,12.42,33.41,17.54,34.25,48.78,72.45
29.3,8.71,11.73,14.65,40.15,17.81,16.11,17.35
8.83,29.86,38.65,1.76,8.77,9.04,51.39,6.51
32.13,4.98,1.38,42.2,22.15,23.29,30.92,21.26
41.66,2.49,14.49,51,19.85,44.93,31.36,89.8
30.36,3.73,6.9,31.07,75.23,10.41,17.42,15.18
32.83,4.98,4.83,16.41,57.23,16.17,23.08,12.15
29.3,8.71,6.9,39.27,68.31,10.14,15.24,11.28
25.07,4.98,3.45,26.38,37.38,20.55,20.03,37.31
8.12,4.98,2.76,8.21,4.15,29.59,8.27,77.65
20.12,1.24,4.83,12.31,3.69,33.7,6.53,85.9
52.96,8.71,11.73,60.96,88.61,36.71,16.98,18.22
34.95,8.71,20.01,30.48,99.23,9.86,26.13,5.64
75.55,13.69,8.28,62.72,110.31,50.41,13.07,23.43
71.67,16.18,14.49,75.03,85.85,59.46,4.36,20.82
43.78,6.22,8.97,59.2,66,44.93,17.86,23.86
58.25,7.47,9.66,70.93,54,58.91,10.89,49.89
35.66,2.49,4.14,53.34,18.92,30.41,8.27,27.33
43.42,13.69,14.49,29.89,55.85,38.63,7.4,21.26
39.89,28.62,0,33.41,23.08,37.81,12.63,77.22
46.95,7.47,6.21,60.37,71.08,30.41,20.03,34.71
11.3,44.8,37.27,7.03,5.08,4.38,40.5,7.81
15.53,4.98,11.04,18.17,16.15,11.78,11.76,10.41
31.77,9.95,20.01,14.07,69.23,11.78,67.94,6.51
9.53,8.71,6.9,8.21,10.15,6.58,37.89,4.34
11.65,16.18,9.66,9.96,12,9.32,46.6,3.04
15.53,7.47,6.21,9.38,20.77,21.65,4.79,40.78
41.66,4.98,6.21,46.31,65.54,49.87,14.37,44.68
40.6,9.95,10.35,49.24,65.54,67.13,17.42,89.37
37.07,7.47,6.9,19.34,60.92,20.82,14.81,33.84
24.36,2.49,2.07,9.96,66.46,13.97,24.39,11.28
23.3,29.86,24.84,17,24,12.88,67.07,19.52
4.24,22.4,26.22,3.52,9.23,6.3,68.81,6.07
7.77,6.22,3.45,5.86,15.69,6.03,22.21,3.47
9.18,12.44,22.77,3.52,30,7.95,59.23,6.07
18,17.42,37.96,9.38,23.54,6.3,80.57,4.34
11.3,13.69,10.35,12.9,12.46,6.85,18.29,5.64
8.47,41.06,24.84,2.34,4.62,7.4,47.04,0.87
6.71,63.46,97.31,7.62,5.08,9.86,47.47,3.04
4.24,58.48,94.55,4.69,4.62,6.3,70.99,2.6
4.94,6.22,13.8,5.86,3.23,4.66,38.33,3.9
9.18,13.69,14.49,4.69,13.38,9.04,44.42,6.94
14.47,13.69,20.7,22.27,48.46,20.55,13.94,22.99
10.59,12.44,11.04,6.45,14.77,6.03,9.58,7.81
77.67,3.73,15.18,67.99,88.61,75.9,10.45,80.26
58.25,7.47,6.21,36.93,52.15,52.88,15.24,78.96
59.31,7.47,13.8,94.96,82.15,74.8,9.15,85.9
7.41,1.24,6.21,6.45,8.77,15.89,1.31,16.49
14.12,13.69,12.42,13.48,26.77,19.45,10.02,22.56
63.55,2.49,11.73,53.93,54,59.18,5.66,62.04
17.65,1.24,6.9,25.79,38.77,13.15,21.34,8.68
25.07,16.18,22.77,19.93,38.77,13.43,18.73,24.73
11.3,73.42,80.05,5.28,5.08,7.95,70.55,3.04
39.54,13.69,10.35,36.34,102.92,12.06,25.26,7.38
33.19,27.38,35.89,20.52,93.69,13.7,16.11,14.75
55.78,19.91,20.7,79.13,82.15,43.02,27.44,28.63
30.01,18.67,22.08,24.62,32.77,18.63,53.57,30.37
19.77,7.47,2.76,18.17,31.85,10.96,13.07,11.71
32.48,9.95,6.9,44.55,19.85,38.08,13.5,77.65
41.31,3.73,4.14,57.44,30.92,18.91,6.97,36.01
33.19,7.47,6.9,36.93,14.31,26.03,9.15,38.18
15.18,11.2,14.49,25.2,29.08,7.12,24.82,8.24
9.18,16.18,32.44,9.96,24,16.17,41.81,10.41
6.71,11.2,4.83,6.45,11.54,5.48,4.36,7.81
6,7.47,13.8,15.24,6.92,7.4,13.07,3.47
18.71,16.18,14.49,21.69,29.54,23.02,11.32,9.98
9.18,12.44,11.04,18.76,18.46,13.15,6.1,4.77
25.42,4.98,8.97,12.9,83.54,9.04,9.15,6.94
8.12,0,2.07,5.28,26.31,4.93,9.58,3.04
37.77,4.98,4.83,38.1,32.31,14.8,15.68,18.65
16.95,7.47,4.83,13.48,11.54,28.49,5.66,53.79
25.07,3.73,4.14,29.31,49.85,14.25,10.02,20.39
38.83,7.47,6.9,46.31,33.69,17.54,19.16,20.39
14.47,1.24,5.52,17.58,1.85,24.39,7.84,49.89
17.3,2.49,0.69,26.96,13.85,16.17,15.68,11.71
64.25,7.47,7.59,82.06,90.46,63.57,7.4,94.57
19.42,6.22,5.52,10.55,20.31,13.15,4.36,16.49
22.24,2.49,4.83,25.2,8.77,43.56,3.92,71.58
44.84,7.47,4.14,42.79,14.77,30.96,7.4,46.42
56.49,8.71,11.04,70.93,74.31,59.46,15.24,72.88
52.96,1.24,6.9,68.58,15.69,41.65,12.63,65.07
21.89,8.71,8.28,26.38,24.92,13.97,10.02,32.1
58.25,11.2,24.15,96.72,89.08,76.44,28.31,87.63
20.83,44.8,62.8,17,11.54,19.18,15.24,28.2
51.54,12.44,22.77,60.37,61.85,59.46,14.81,91.54
35.3,56,56.59,24.62,30,26.03,39.63,37.31
19.42,46.04,32.44,30.48,25.85,27.12,18.29,43.82
21.18,28.62,42.79,14.65,30.46,13.97,16.55,14.75
18,23.64,20.01,29.31,18,18.63,13.07,22.13
37.77,14.93,22.08,37.51,46.61,23.84,27.87,19.96
34.95,11.2,15.87,34.58,11.08,34.25,20.03,68.54
23.65,22.4,24.15,21.1,21.23,13.15,20.03,15.18
63.19,6.22,8.97,101.99,85.85,72.88,19.16,91.97
27.18,0,0,21.1,37.38,23.02,2.61,50.32
12.71,16.18,14.49,9.38,23.54,5.75,12.19,8.68
31.07,4.98,8.97,30.48,43.38,10.96,12.63,18.22
4.94,11.2,9.66,5.86,6.92,10.69,8.27,3.9
35.3,17.42,10.35,73.86,10.15,29.32,21.78,26.03
31.77,16.18,1.38,46.89,5.08,32.06,8.27,65.51
15.89,59.73,91.1,7.62,8.31,5.75,81.01,8.68
16.95,28.62,17.94,13.48,36.92,7.4,23.52,7.81
25.07,17.42,32.44,19.34,28.15,29.04,46.16,44.68
69.9,43.55,69.7,67.99,54,43.29,71.42,44.68
8.83,8.71,22.08,4.69,2.77,6.85,70.12,5.21
45.89,16.18,24.84,43.96,32.31,40,46.6,64.21
37.42,12.44,2.07,38.69,8.77,29.86,6.97,51.19
20.83,6.22,2.76,45.13,4.15,20.82,10.02,23.86
27.89,3.73,13.11,35.76,10.62,32.33,15.68,50.76
62.13,11.2,4.14,63.31,28.15,68.77,8.71,118
55.43,2.49,3.45,87.92,61.38,48.5,6.97,65.94
47.66,8.71,8.97,39.86,31.38,29.59,13.07,54.23
32.48,8.71,4.83,28.72,14.77,21.37,32.23,46.85
46.6,12.44,15.87,67.41,31.38,50.69,29.18,81.56
64.96,16.18,22.08,93.79,26.31,61.92,43.55,118
12.36,0,3.45,4.69,54.46,3.56,4.79,3.9
19.77,4.98,1.38,11.72,36.46,4.93,4.79,8.68
12.36,2.49,4.14,3.52,48.46,5.75,2.18,4.34
15.89,4.98,4.14,21.69,41.08,4.93,6.1,15.18
45.19,6.22,5.52,36.34,72,18.63,5.66,27.76
26.12,1.24,2.07,20.52,6.92,32.6,3.92,95.01
42.72,6.22,3.45,45.72,13.38,35.89,11.32,43.38
28.6,54.75,40.72,25.79,19.85,20.28,68.38,22.13
15.89,33.6,34.51,20.52,16.62,15.07,46.6,14.32
62.84,8.71,13.8,51.58,54.92,40.28,15.24,66.38
17.65,4.98,5.52,13.48,48.46,5.48,12.19,18.22
44.13,53.51,89.72,31.07,35.54,24.11,79.7,13.88
67.08,23.64,14.49,72.68,64.61,39.45,67.94,49.46
15.89,21.15,11.04,22.27,12,11.78,38.33,15.62
33.89,6.22,3.45,49.24,13.38,29.59,8.27,49.89
36.36,11.2,6.9,39.27,52.15,32.33,11.76,31.24
28.6,8.71,4.83,19.34,41.08,21.1,4.79,22.56
25.77,13.69,6.21,36.93,34.15,46.3,6.97,5.64
41.31,3.73,1.38,35.17,60.46,8.49,10.02,11.28
30.71,14.93,4.83,14.07,82.61,4.93,11.32,1.3
27.54,12.44,1.38,12.31,67.38,7.12,9.58,5.64
4.94,9.95,0.69,4.69,4.62,4.38,7.84,5.64
8.47,9.95,6.21,21.69,14.31,6.3,8.27,4.77
14.83,7.47,14.49,7.62,37.85,3.56,5.23,5.21
4.24,44.8,49,5.28,2.77,5.48,51.83,10.41
24.36,31.11,33.82,20.52,29.54,21.65,43.55,26.03
23.65,2.49,4.14,21.69,1.85,32.6,16.98,85.46
22.95,14.93,11.73,11.14,15.69,15.62,36.15,16.49
20.48,4.98,5.52,21.1,44.77,9.59,5.66,4.34
38.13,8.71,6.9,26.96,72,18.08,10.02,15.62
40.6,2.49,2.07,23.45,50.77,17.81,14.37,12.15
19.06,12.44,9.66,12.9,21.23,19.45,27.87,37.74
37.77,4.98,5.52,37.51,82.61,14.25,24.39,17.79
43.42,12.44,6.9,85.58,15.69,79.73,18.73,83.73
73.43,16.18,16.56,66.82,72,84.11,20.47,89.8
28.95,12.44,6.21,11.72,26.77,19.73,36.58,24.29
20.83,3.73,10.35,26.38,11.08,39.18,16.11,55.96
46.6,17.42,26.22,42.2,43.85,24.11,22.65,23.43
48.72,3.73,7.59,75.61,28.62,60,3.05,45.99
34.95,12.44,4.14,41.03,34.61,37.26,7.84,68.54
49.07,7.47,2.07,73.27,25.85,44.39,15.68,39.48
24.01,2.49,4.83,32.82,22.62,21.92,36.58,28.63
44.48,12.44,8.28,49.24,34.15,46.58,11.76,90.24
60.72,12.44,10.35,84.99,52.61,56.99,16.98,71.15
68.84,9.95,5.52,53.34,57.69,44.39,13.5,55.96
32.83,8.71,0.69,40.44,4.62,28.49,3.05,18.65
8.12,29.86,28.3,2.34,12.92,13.43,46.6,5.21
14.47,11.2,17.94,34,10.62,35.89,4.36,10.41
16.95,8.71,4.14,9.38,10.62,20.82,10.89,36.88
17.3,9.95,9.66,7.62,6.92,23.29,6.1,52.93
68.14,7.47,4.83,67.41,61.85,13.7,55.75,16.05
28.95,4.98,0,38.1,39.69,12.88,16.98,10.41
70.61,7.47,6.21,63.31,77.08,27.95,49.21,23.43
28.6,6.22,5.52,40.44,40.15,13.97,24.82,9.98
25.77,12.44,9.66,23.45,58.15,16.17,14.37,25.6
24.36,22.4,11.04,17.58,24.92,18.63,15.68,27.33
27.54,2.49,8.28,36.34,19.85,14.8,37.89,11.71
14.83,9.95,18.63,20.52,33.23,20.28,30.05,16.05
10.24,21.15,19.32,8.21,15.23,7.12,27.87,7.38
10.94,17.42,16.56,10.55,11.54,8.49,16.55,5.21
30.36,95.82,82.81,17,59.08,20.82,109.31,6.51
5.3,7.47,7.59,2.34,0.46,6.03,39.63,9.54
12.36,4.98,6.21,7.62,31.38,4.38,3.92,5.64
14.47,6.22,6.9,8.79,54,8.77,10.02,7.38
25.07,7.47,2.76,24.62,41.08,10.41,24.39,5.64
39.19,7.47,2.76,60.96,55.38,15.62,16.98,8.24
26.12,4.98,0,52.17,75.23,20.28,8.71,4.34
52.25,2.49,2.76,60.96,55.38,35.62,13.07,104.99
27.89,1.24,2.76,15.24,10.62,23.84,8.27,42.51
19.42,7.47,1.38,20.52,8.77,24.39,6.53,45.55
21.54,3.73,8.28,13.48,30,14.52,7.4,9.98
36.01,6.22,2.76,25.79,29.54,25.21,13.07,41.21
16.59,2.49,3.45,19.34,12,22.47,0.87,40.35
37.42,13.69,28.3,33.41,55.38,29.59,50.08,20.82
14.12,4.98,3.45,24.62,24,10.41,6.1,5.21
46.95,24.89,33.13,59.79,43.85,30.41,57.49,27.33
14.83,13.69,14.49,4.69,12,11.23,38.76,19.52
36.72,4.98,16.56,50.41,39.69,35.89,38.76,39.48
44.84,0,4.14,59.2,24.92,24.39,12.19,28.63
27.89,4.98,4.14,43.38,35.08,15.62,20.03,9.54
47.66,11.2,3.45,26.96,29.54,23.56,23.52,40.78
46.25,4.98,8.28,59.2,50.77,23.02,7.84,16.92
51.19,11.2,16.56,80.89,82.61,41.92,12.63,35.14
10.24,62.22,53.83,11.72,25.85,7.12,25.26,7.81
6,138.12,177.36,5.86,4.15,9.04,74.47,2.6
17.3,13.69,28.3,19.34,8.77,18.36,24.39,41.65
13.77,19.91,24.15,13.48,30.46,6.85,64.46,6.51
39.89,9.95,22.08,23.45,49.38,8.49,45.29,13.88
7.77,9.95,6.9,2.34,12.46,4.93,38.76,3.04
66.02,8.71,11.04,83.23,89.54,14.25,71.86,18.65
28.6,2.49,10.35,25.79,36.92,11.23,27,5.21
36.36,6.22,16.56,21.1,40.61,6.58,60.97,6.94
29.65,8.71,8.28,36.34,77.08,11.23,20.47,12.58
39.54,4.98,6.9,39.86,36.92,11.23,17.86,14.32
13.77,8.71,22.08,13.48,11.08,11.78,70.12,10.41
58.96,7.47,6.21,116.06,39.69,41.92,5.66,12.15
14.12,7.47,20.01,2.93,7.85,9.32,59.23,9.54
13.42,11.2,12.42,8.21,23.54,8.22,8.71,4.34
52.6,9.95,15.18,69.75,98.31,33.7,43.12,39.91
51.54,28.62,40.72,51,55.38,42.74,84.49,40.78
24.71,12.44,11.04,42.2,29.54,41.92,15.24,64.21
39.19,4.98,1.38,26.96,43.85,18.63,26.13,11.28
8.47,18.67,21.39,7.03,4.62,31.51,39.2,26.03
20.12,3.73,7.59,23.45,0.92,15.62,21.78,17.35
18.36,19.91,35.2,8.21,12.46,12.33,70.12,10.85
40.6,17.42,17.94,31.65,44.31,33.15,30.49,36.01
34.95,1.24,5.52,31.07,35.54,25.21,7.4,21.26
31.07,7.47,8.97,46.31,42.92,20.82,9.58,15.62
10.94,13.69,8.97,12.9,48.46,6.58,9.15,7.81
21.18,13.69,6.21,39.27,21.69,24.66,6.97,11.71
20.48,7.47,5.52,15.83,18.46,21.92,15.68,24.73
32.13,77.15,96.62,14.65,30.92,24.93,84.05,12.58
15.89,1.24,4.14,14.65,2.77,10.96,11.76,39.04
4.94,13.69,22.08,1.76,7.38,6.85,48.34,8.68
10.24,18.67,8.28,15.83,9.69,11.51,16.55,23.86
16.24,2.49,13.8,14.65,8.77,22.74,8.71,46.85
31.07,9.95,3.45,53.93,10.62,32.88,8.71,61.6
27.18,18.67,24.15,63.31,39.69,22.19,39.2,18.65
3.88,4.98,7.59,4.1,9.69,7.67,2.18,4.77
39.89,14.93,2.76,41.03,6.46,39.18,19.6,83.29
37.42,39.82,31.75,21.1,36,16.99,98.43,21.69
57.9,11.2,9.66,59.2,25.85,37.54,40.5,53.79
72.37,1.24,4.83,65.06,37.38,46.58,18.29,69.85
33.54,36.09,41.41,25.2,25.38,34.8,52.26,36.01
28.95,3.73,8.97,25.2,35.08,10.96,43.12,10.41
35.66,4.98,22.08,21.69,39.69,14.52,77.96,23.43
56.13,6.22,10.35,55.69,32.77,27.12,43.99,22.56
39.89,7.47,6.9,39.86,38.31,34.52,37.45,36.88
45.19,8.71,4.83,35.17,27.23,24.66,3.92,48.59
29.65,6.22,6.9,21.1,43.85,10.96,29.61,8.68
27.54,11.2,6.9,37.51,5.54,40.82,7.84,59
47.31,31.11,31.75,26.38,40.15,35.07,45.73,46.42
51.54,14.93,24.84,79.13,63.69,67.95,66.2,81.13
43.42,80.88,89.03,34,48,21.37,97.55,17.79
37.77,124.44,131.81,25.79,23.54,21.1,90.59,35.57
16.95,9.95,11.04,12.9,15.69,11.78,12.19,12.58
37.77,4.98,13.8,62.72,41.54,36.17,35.71,52.06
46.95,8.71,8.97,48.65,38.31,38.63,21.34,50.32
49.07,3.73,2.76,90.27,27.69,77.27,13.5,101.51
32.83,6.22,9.66,48.65,24,27.67,16.55,26.46
30.36,8.71,3.45,29.89,30,12.88,26.57,13.88
52.96,6.22,7.59,59.2,91.38,61.92,16.55,82.86
51.19,7.47,13.8,72.1,76.61,43.84,36.15,76.35
11.65,2.49,9.66,9.38,5.08,13.43,10.02,21.26
17.65,12.44,20.01,18.76,15.23,10.14,51.83,15.62
6.35,21.15,6.9,8.79,4.15,6.3,55.75,9.11
9.88,7.47,15.18,6.45,4.15,7.67,18.29,3.47
7.06,4.98,7.59,3.52,7.38,6.03,6.1,6.51
6.35,0,9.66,3.52,9.23,4.93,5.23,13.01
7.41,7.47,5.52,5.28,3.23,2.47,5.66,9.54
5.3,13.69,10.35,4.1,6.92,4.66,9.15,5.21
9.88,7.47,1.38,1.17,6,2.47,11.32,4.34
12.36,12.44,8.28,11.14,23.54,13.43,14.37,8.68
62.13,13.69,16.56,83.82,82.15,45.76,24.82,58.57
19.42,98.3,124.22,18.17,12,14.52,92.76,13.45
78.37,24.89,34.51,82.06,63.69,43.56,62.28,59.43
52.96,11.2,18.63,29.31,80.31,26.85,40.94,22.13
63.19,39.82,48.31,67.41,76.15,31.78,71.42,36.88
60.37,27.38,17.25,110.78,55.38,53.43,30.92,68.98
73.78,107.01,109.04,87.34,54.92,81.65,84.05,109.32
27.89,23.64,20.7,9.38,24.92,17.54,53.57,20.82
56.13,28.62,35.89,70.93,110.77,36.99,58.36,28.2
32.13,9.95,17.25,35.17,22.15,38.08,49.21,65.94
8.83,38.58,49.69,5.86,4.15,6.03,121.94,7.81
36.36,3.73,6.9,40.44,18.92,41.37,17.42,32.54
6.35,44.8,52.45,9.96,4.15,9.32,31.36,6.51
