CMP,EryA,EryB,GMP,MPP,Mono,MEP,GN
32.48,12.44,10.35,43.96,30.92,16.99,20.9,7.81
51.19,21.15,23.46,74.44,135.69,41.1,42.24,45.99
58.6,12.44,13.8,93.79,42.92,67.4,17.42,72.45
51.54,17.42,10.35,51.58,73.38,49.04,27,61.17
13.06,23.64,17.94,21.1,14.31,9.59,12.63,13.45
21.54,41.06,38.65,26.96,8.31,13.43,67.5,16.92
39.89,37.33,33.13,38.1,29.54,21.1,60.1,26.46
9.18,46.04,41.41,3.52,10.62,9.86,33.53,5.64
7.41,141.86,135.95,4.69,8.31,6.85,81.88,4.34
3.88,146.83,172.53,1.76,5.08,8.77,49.65,4.77
1.77,151.81,202.9,0.59,6,8.49,47.04,8.24
2.82,110.75,113.87,0.59,3.23,5.21,38.76,4.34
10.94,21.15,22.77,15.83,20.31,6.58,55.75,7.38
9.53,67.2,68.32,13.48,24,10.41,43.99,5.21
14.12,23.64,33.82,6.45,4.62,13.15,42.24,9.54
11.65,16.18,22.77,12.31,5.08,25.21,8.71,42.51
32.83,2.49,8.28,28.14,13.85,33.15,2.61,89.37
33.54,11.2,15.87,43.96,42,17.81,15.24,16.92
27.89,9.95,15.18,21.1,41.54,50.69,15.68,87.63
57.54,2.49,6.9,63.31,80.31,32.33,26.13,16.05
31.07,11.2,2.76,25.79,50.77,19.73,10.02,9.11
30.01,9.95,3.45,42.2,29.08,14.25,10.02,15.18
27.54,9.95,4.14,18.17,61.85,6.03,30.05,6.51
27.54,12.44,9.66,19.93,53.08,9.04,6.1,5.64
15.53,8.71,9.66,7.62,38.31,4.38,7.4,3.04
16.95,8.71,6.21,9.38,39.23,5.75,6.53,6.07
9.53,8.71,5.52,6.45,4.15,5.48,57.92,9.11
8.12,14.93,8.97,14.65,7.38,8.77,63.58,3.04
28.95,9.95,8.28,36.34,15.23,14.8,43.55,25.16
22.95,4.98,6.21,35.76,18,20.28,7.84,13.01
19.42,11.2,5.52,11.72,36,13.15,11.76,20.39
38.83,79.64,78.67,43.38,67.38,20.55,40.5,18.65
38.83,6.22,12.42,30.48,76.15,20.55,14.81,13.01
34.24,7.47,3.45,25.2,66.46,17.81,26.13,13.01
22.95,7.47,0,13.48,51.69,15.34,5.66,13.01
38.83,3.73,4.14,32.24,47.08,13.43,9.58,11.71
50.13,3.73,8.97,46.89,48.46,13.43,11.76,13.45
23.3,13.69,8.28,29.89,43.38,10.69,9.15,4.77
31.07,2.49,4.83,35.17,6.92,42.19,14.81,88.07
21.18,6.22,12.42,25.2,17.54,59.18,14.81,100.21
16.95,4.98,9.66,17,19.85,31.51,21.78,45.99
25.07,11.2,8.28,19.93,30.92,26.3,21.78,46.42
33.19,14.93,14.49,42.79,26.31,36.17,13.94,31.24
5.3,36.09,25.53,4.1,9.23,12.33,52.7,4.77
20.83,4.98,3.45,12.31,77.08,4.66,5.66,5.21
33.19,6.22,2.76,34,62.77,16.44,10.02,7.38
3.18,16.18,13.11,0.59,6,4.66,5.23,2.17
5.3,6.22,13.8,6.45,17.54,12.88,6.1,5.64
25.77,2.49,5.52,68.58,26.31,38.63,8.27,8.24
30.01,3.73,11.04,48.65,41.54,41.65,19.6,24.73
50.48,12.44,12.42,45.72,75.23,28.49,57.05,33.4
12,12.44,21.39,10.55,6.92,8.22,62.28,8.68
8.12,12.44,5.52,21.1,1.85,12.06,39.2,8.24
36.36,32.35,30.37,40.44,23.54,22.47,84.05,10.41
12.36,14.93,13.8,8.21,5.08,3.84,55.31,3.04
14.47,4.98,6.9,5.28,7.85,3.84,48.78,6.51
51.54,11.2,6.21,26.96,68.31,9.59,56.62,6.94
48.72,11.2,9.66,25.79,50.31,37.54,27.44,36.44
8.47,68.44,73.84,6.45,3.23,5.48,39.2,6.94
10.94,38.58,33.13,3.52,9.69,7.67,28.31,6.07
7.41,38.58,27.6,0.59,26.77,6.03,24.39,4.77
11.65,23.64,33.82,15.83,13.38,12.6,58.79,11.71
4.94,17.42,20.7,4.1,7.38,5.21,53.57,4.77
41.31,47.29,38.65,60.37,35.54,47.4,35.28,20.39
40.95,9.95,8.97,31.65,96,11.51,36.58,19.52
45.19,12.44,24.15,45.72,71.08,32.33,62.28,18.65
18.36,7.47,2.07,19.93,18.46,21.1,39.63,17.35
26.83,12.44,11.04,24.62,12,10.96,38.33,10.85
6.35,24.89,28.3,5.28,2.77,5.21,43.55,3.47
52.25,11.2,3.45,104.34,10.15,51.24,6.53,75.05
26.83,12.44,9.66,35.17,14.31,22.74,10.89,44.68
12.71,6.22,5.52,4.69,22.15,11.23,2.18,19.52
48.01,6.22,7.59,36.93,45.23,23.29,27.44,23.43
51.9,8.71,4.83,53.93,64.15,44.39,18.73,57.26
55.07,13.69,7.59,51.58,39.69,55.07,20.9,90.67
55.07,3.73,6.21,72.1,11.54,69.87,8.71,93.71
39.89,4.98,7.59,62.13,16.15,16.99,5.66,22.56
