UNIQUD,NAME,MPP,CLP,CMP,GMP,MEP,CD8
NM_172307,Mbtps2,41.0785,71.9304,96.0278,82.0849,94.0738,91.4663
NM_007482,Arg1,1.0512,0,0.3495,0.3662,6.4331,0
NM_173048,Gga3,94.6134,151.4798,172.5063,162.3406,328.8607,182.1001
NM_175560,Zfp747,12.466,22.7185,17.1132,16.8572,16.0811,25.7747
NR_028111,4930523C07Rik,17.1944,20.0727,35.2704,41.4093,41.0141,326.7693
NM_008837,Pick1,60.3635,59.0732,52.7287,41.7791,110.9649,69.0139
NM_016769,Smad3,113.6486,171.5113,155.3984,112.8709,206.6456,340.1073
NM_001081073,Cep76,17.4569,38.2528,40.8584,35.1818,248.4304,19.1254
NM_028798,Crct1,0,0,0,0,0,0
NM_146385,Olfr1347,0,0,0,0,0,0
NM_001136055,Cd82,235.9577,550.3878,126.4058,118.3646,1387.0096,712.6294
NM_138721,Lsm10,39.104,69.2914,52.0281,57.9011,125.4158,45.7335
NM_001011767,Olfr299,0,0,0,0,0,0
NM_015806,Mapk6,54.0719,68.9063,123.2681,119.8328,142.2991,96.4514
NR_037210,Mir1298,0,0,0,0,0,0
NM_029081,C2cd5,150.7884,207.8969,229.0814,274.4789,366.6818,231.1549
NM_001025102,Arl14ep,51.5708,85.2161,54.8256,77.3246,120.6043,63.1978
NM_001177845,Tirap,41.7362,21.203,71.2359,76.2265,48.2439,22.456
NM_008776,Pafah1b3,273.0718,322.6176,181.5885,121.6673,194.5712,44.8973
NM_001025251,Mbp,140.5412,184.4181,154.3441,146.9531,564.447,419.0881
NR_030403,Mir302b,0,0,0,0,0,0
NR_037223,Mir3063,0,0,0,0,0,0
NM_001170591,Nfu1,104.72,131.0258,123.2623,138.1596,318.4102,102.2816
NM_010084,Adam18,1.837,0,0,0.3665,0,0.8315
NM_029979,Trim35,111.2889,137.8311,198.3467,188.7265,132.664,203.7142
NM_001252055,Ly6c1,0.5248,0.3785,1.0471,5.4975,0,3.3254
NM_053259,Prss28,0,0.3785,0,0,0,0
NM_001166065,Gcnt4,11.0215,3.0283,3.8399,2.5656,4.8236,0.8318
NM_011232,Rad1,17.8475,38.6202,34.5686,37.7469,95.674,23.2834
NM_001042491,Anapc5,779.0366,916.4387,883.4428,822.3577,2002.0059,457.3303
NM_007494,Ass1,259.7827,139.7446,291.221,302.7064,320.0029,86.4756
NM_027399,Steap1,0,0,1.0481,0,0,0
NM_001112796,Bicd1,21.7861,28.7754,33.5258,24.1892,63.518,1.663
NM_008786,Pcmt1,148.9547,259.0222,244.0946,245.5289,743.7576,236.1517
NM_025798,Hint3,6.5621,24.6188,15.363,15.0263,51.4592,30.7668
NM_001038696,Rnpc3,16.8001,26.5051,38.762,32.6145,108.5377,61.5255
NM_001130176,Tnnt2,0,1.5156,0,0,0,2.4954
NM_001011876,Ang6,0,0,0,0,0,0
NR_040383,4930520O04Rik,81.6336,121.1726,94.6365,88.3174,195.4073,0.8318
NM_001159317,Il1rap,17.4583,21.9568,41.2039,43.2424,34.5706,41.5759
NM_001045807,Rbm15,7.875,10.6028,12.5726,15.7581,18.4943,11.6411
NM_001033311,Vsig10,26.3779,17.4175,27.9355,13.5598,38.5907,5.8205
NR_045810,4933408J17Rik,1.5744,5.3027,0,0,4.0213,0
NM_001177715,Gm2897,0,0,0,0,0,0
NM_181680,Dsg1c,0,0,0,0,0,0
NM_009025,Rasa3,240.5338,306.3484,388.3156,337.5151,229.928,1010.2925
NM_027732,Dmrtc2,0.2624,0,0,0,0,0
NM_014193,Cacna1s,0,0,0,0,0,14.1408
NM_183307,Ccdc63,1.5745,4.1639,5.5871,2.5652,4.8209,0.8318
NR_051981,H2-Q5,4.1986,3.0307,6.6343,2.9314,9.6457,10.8102
NR_027806,Pea15b,0,0,0,0,0,0
NM_001165999,Lingo2,36.214,1.1362,3.1432,0.7325,4.0201,5.8202
NM_175103,Bola2,469.8742,670.3986,551.3673,684.9279,1230.1728,583.7352
NR_045061,4921525O09Rik,0.9185,2.2723,0,0,2.4105,38.2572
NM_028643,Micu2,119.1628,144.2668,209.5241,178.4685,407.6156,227.0057
NM_080638,Mvp,121.5204,107.9308,118.3812,125.3284,172.0764,134.709
NM_028718,Traf3ip1,19.8129,29.5379,16.4117,20.5235,70.7559,37.4146
NM_001252326,Pan2,56.4325,90.4954,99.5256,74.3971,206.6405,121.4066
NM_199067,Defb50,0,0,0,0,0,0
NM_013731,Sgk2,0,0.7574,0,0,0,0
NR_035526,Mir432,0,0,0,0,0,0
NM_134243,Vmn1r211,0,0,0,0,0,0
NM_020585,Golga7,74.0203,170.4573,101.9581,67.431,139.0735,62.3644
NM_019435,Ndufb11,411.5581,494.6201,440.645,537.6379,836.9435,288.5437
NR_045266,Gm15545,35.5636,37.0987,42.6023,34.8126,33.7749,59.0411
NM_001286009,Tubgcp2,15.8818,24.9901,20.602,21.2551,49.0581,9.9785
NM_027830,Mcm9,27.6957,39.7505,35.6167,35.9139,69.9537,70.6806
NM_009376,Ift88,30.3113,37.8636,52.0345,30.4156,52.26,14.1377
NM_146413,Olfr463,0,0,0,0,0,0
NM_178666,Themis,6.4314,8.7064,0.6988,0.7329,9.647,1738.6711
NM_001033158,Rasl12,11.6781,14.7641,2.0952,0,1.607,4.1584
NR_033398,Gm9159,0.2625,0.7571,1.7463,0.7328,2.4131,1.6624
NM_152802,Defb12,0,0,0,0,0,0
NM_001286002,Scyl3,53.2872,65.888,90.4427,102.975,213.8323,143.8528
NM_025305,Mrps7,190.3009,267.3513,335.9276,369.3977,1028.2708,202.8992
NM_028711,Slc25a27,33.3325,30.2861,42.2537,21.9872,21.7134,51.5523
NM_019695,Pard6a,37.2637,72.3325,53.4301,37.0118,99.6888,40.7447
NR_036593,1700121N20Rik,0,0,0,0,0,0
NM_001177508,Olfr743,0,0,0,0,0,0
NM_019779,Cyp11a1,8.0033,0.7575,4.1894,4.3975,0.8035,0
NM_173785,Iba57,33.5967,91.6573,58.3189,41.777,316.8056,25.777
NM_001081208,Hs3st5,15.8758,1.1368,3.1429,0.3665,0.8035,0
NM_134199,Vmn1r235,0,0,0,0,0,0
NM_001039710,Coq10b,8.7911,14.7702,13.6186,9.8946,41.7965,36.5844
NM_026010,Lipt2,42.3845,60.2057,44,35.5454,61.8991,7.482
NM_010596,Kcna7,0.1312,0,0,0,0,0
NM_001163668,Tnnt3,3.9364,10.6017,1.0474,0,3.214,297.7839
NM_011989,Slc27a4,41.2147,58.6969,46.7976,54.6006,87.6445,49.8952
NM_001081182,Atp8b2,53.6696,70.8022,59.7138,69.2621,14.4663,143.0248
NM_013536,Emg1,140.6769,329.8776,296.8164,303.7975,1067.6922,279.3921
NM_080450,Gjc3,0,0,0,0,0,0
NM_001164169,Pias2,10.8914,20.066,31.4244,34.8113,43.4113,53.2133
NM_080469,Eri3,214.3262,276.0801,326.1614,322.4808,393.9935,156.3315
NM_001033366,Dpcr1,0,0,0,0,0,0
NM_145221,Appl1,56.7067,77.9853,119.772,120.2006,49.0581,148.8428
NM_053132,Pcdhb7,0,0,0,0,0,0
NM_027421,Ints2,42.9177,86.7067,114.1919,106.6409,253.251,61.5264
NM_029960,9230104L09Rik,0,0,0,0,0,0
NM_172694,Megf9,10.2365,6.8145,10.4773,21.255,23.323,11.6397
NR_028586,Gm11978,0.1312,0,0.3491,0,0,0
NM_183298,Foxe1,0,0,0,0,0,0
NM_146482,Olfr889,0,0,0,0,0,0
