CMP,EryA,GMP,MEP,MPP
9.53,46.04,9.38,80.13,2.77
44.48,16.18,38.69,16.98,46.61
25.07,18.67,45.72,40.5,17.54
12.71,18.67,15.83,19.16,8.77
16.95,44.8,14.65,39.2,21.69
35.3,90.84,37.51,56.18,41.54
38.13,27.38,39.27,29.61,33.69
18.36,14.93,42.79,12.19,12
30.36,16.18,29.31,6.97,22.62
19.77,14.93,11.14,16.55,32.31
42.36,7.47,41.03,8.27,1.85
24.01,6.22,15.83,3.05,3.23
29.3,11.2,39.86,16.98,25.85
33.54,8.71,38.1,8.71,20.77
6.35,8.71,3.52,2.18,4.15
43.42,7.47,59.79,4.79,19.85
7.77,6.22,16.41,3.05,3.23
6,13.69,2.34,7.4,3.69
5.65,4.98,7.62,7.4,6
8.12,7.47,7.03,11.32,4.15
30.01,7.47,34.58,12.63,11.54
9.53,29.86,2.34,50.52,3.23
30.01,3.73,28.72,17.86,31.85
9.88,6.22,5.28,6.1,19.38
48.01,13.69,53.34,36.58,55.85
51.19,8.71,47.48,49.21,66.92
53.31,12.44,45.13,21.78,25.38
41.31,12.44,66.82,29.18,23.54
61.08,11.2,75.61,23.08,80.31
27.89,7.47,31.07,15.24,42
22.59,6.22,14.65,10.89,45.69
34.6,9.95,25.2,10.89,44.31
52.25,2.49,41.62,37.02,104.77
36.36,1.24,29.89,8.27,42.92
21.18,8.71,9.96,44.42,24.92
32.13,11.2,38.1,12.63,13.38
50.13,12.44,85.58,15.68,6.92
24.01,6.22,28.14,5.66,42.92
13.42,17.42,15.24,54.44,19.38
24.36,1.24,15.83,16.11,44.31
17.65,9.95,15.24,20.03,7.38
34.6,21.15,26.96,28.74,22.15
24.36,6.22,12.31,7.84,26.77
2.47,6.22,2.34,3.05,4.62
5.3,9.95,3.52,4.36,3.23
25.77,8.71,40.44,3.48,7.38
15.53,4.98,14.07,7.84,6.46
24.36,1.24,21.1,12.63,3.69
24.71,6.22,18.76,7.84,9.69
47.66,3.73,62.72,8.27,32.77
