UNIQUD,NAME,MPP,CMP,GMP,MEP,EryA,Gn
NM_011141,Pou3f1,0,0.698,0,0,0,0
NM_009676,Aox1,3.0176,0.3491,0,0,0,0.6468
NM_009355,Prss39,1.4433,2.095,3.2981,0,0,0.2347
NM_008089,Gata1,15.2282,141.7712,39.2093,2078.6066,2115.4173,3.2729
NM_028422,Mtg2,72.0464,92.8911,91.2437,176.8882,13.5622,26.8116
NM_133224,Atp13a1,397.9584,318.8103,386.9858,894.0848,126.0567,54.2272
NM_001284427,Smtn,36.3525,20.952,20.5208,7.2341,3.0136,4.7645
NM_001010831,Taar9,0,0,0,0,0,0
NM_198942,Dhx57,80.0509,147.7128,94.178,125.4605,28.1243,76.1875
NM_175324,Acad11,36.3515,42.2545,60.4687,89.2528,6.5301,24.354
NM_023372,Rpl38,79.0025,102.662,111.7677,226.7429,26.6177,19.6238
NM_153384,Clrn1,0,0,0.7329,0,0,0
NM_001077514,Slc1a2,5.1169,0.6981,1.0996,0,0.5025,1.9954
NM_146156,Pdik1l,26.2502,66.6969,52.039,105.321,90.9019,11.3686
NM_146371,Olfr1450,0,0,0,0,0,0
NM_017375,Ostf1,356.063,600.5942,673.5843,585.3532,224.5076,817.4594
NM_027677,Gpr39,1.1808,1.0475,0,0,0,0
NM_009498,Vamp3,80.1911,162.7305,170.4004,238.7636,155.1892,52.8926
NM_010605,Kcnj5,2.2333,3.4912,2.5653,1.607,0.5025,0
NM_028450,Gulp1,8.5283,8.7303,1.8322,3.2153,1.5071,0.352
NR_033527,Ccl25,42.2627,72.291,76.9578,135.0706,71.8204,12.7023
NM_009874,Cdk7,133.7345,217.2003,236.3619,598.9901,86.3871,38.5929
NM_001042501,Fam133b,118.2498,233.6152,210.7141,327.2249,163.7327,31.842
NM_001163566,Crb2,0.9184,1.3961,0,0,0.5025,0
NM_054049,Osr2,0,0,0,0,0,0.0782
NM_001243265,Gm16130,0,0,0,0,0,0
NM_172592,Srek1,227.4497,327.5622,278.8701,578.0775,151.1744,59.9857
NM_017369,Gabre,1.9682,0.349,0,0,0,0
NR_028499,Fxyd2,6.4306,1.3965,1.4652,0.8035,0,5.4965
NR_039589,Mir5127,0,0,0,0,0,0
NR_033304,Lypd6,4.5921,0.3494,0,0,0,0.1175
NM_025395,Chchd5,67.7125,89.0462,94.9164,143.1066,46.7114,16.9523
NM_001286996,Gpr160,81.7847,119.7729,238.5634,9.6484,3.5157,25.0008
